,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
549,549,1545868800,AS,AS,AS,49,AS,N619AS,49,10299,ANC,"Anchorage, AK",10170,ADQ,"Kodiak, AK",1512,1503.0,-9.0,20.0,1523.0,1607.0,3.0,1615,1610.0,-5.0,0,,0,N,63.0,67.0,44.0,1,253,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
550,550,1515715200,AS,AS,AS,118,AS,N263AK,118,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",1300,1249.0,-11.0,11.0,1300.0,1659.0,9.0,1725,1708.0,-17.0,0,,0,N,205.0,199.0,179.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
551,551,1546041600,AS,AS,AS,106,AS,N556AS,106,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",2155,2158.0,3.0,20.0,2218.0,154.0,5.0,223,159.0,-24.0,0,,0,N,208.0,181.0,156.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
552,552,1515974400,AS,AS,AS,900,AS,N306AS,900,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",2005,1947.0,-18.0,16.0,2003.0,29.0,5.0,37,34.0,-3.0,0,,0,N,212.0,227.0,206.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
553,553,1516924800,AS,AS_CODESHARE,AS,2805,QX,N452QX,2805,10299,ANC,"Anchorage, AK",11630,FAI,"Fairbanks, AK",1310,1258.0,-12.0,7.0,1305.0,1353.0,2.0,1413,1355.0,-18.0,0,,0,N,63.0,57.0,48.0,1,261,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
554,554,1550016000,AS,AS,AS,134,AS,N434AS,134,10299,ANC,"Anchorage, AK",14057,PDX,"Portland, OR",45,104.0,19.0,18.0,122.0,513.0,4.0,520,517.0,-3.0,0,,0,N,215.0,193.0,171.0,1,1542,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
555,555,1515369600,DL,DL_CODESHARE,DL,3534,OO,N459SW,3534,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",1718,1738.0,20.0,18.0,1756.0,1843.0,9.0,1843,1852.0,9.0,0,,0,N,85.0,74.0,47.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
556,556,1543622400,AA,AA_CODESHARE,AA,4186,MQ,N696AE,4186,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",959,949.0,-10.0,7.0,956.0,1046.0,8.0,1109,1054.0,-15.0,0,,0,N,70.0,65.0,50.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
557,557,1547337600,UA,UA_CODESHARE,UA,3813,ZW,N423AW,3813,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",545,537.0,-8.0,17.0,554.0,637.0,17.0,704,654.0,-10.0,0,,0,N,79.0,77.0,43.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
558,558,1518739200,DL,DL_CODESHARE,DL,4464,OO,N8884E,4464,11977,GRB,"Green Bay, WI",13487,MSP,"Minneapolis, MN",1720,1711.0,-9.0,12.0,1723.0,1816.0,5.0,1844,1821.0,-23.0,0,,0,N,84.0,70.0,53.0,1,252,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
559,559,1547856000,AA,AA_CODESHARE,AA,3679,MQ,N931AE,3679,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1621,,,,,,,1734,,,1,C,0,N,73.0,,,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
560,560,1518566400,AA,AA_CODESHARE,AA,3709,MQ,N931AE,3709,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1449,1440.0,-9.0,4.0,1444.0,1526.0,11.0,1559,1537.0,-22.0,0,,0,N,70.0,57.0,42.0,1,173,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
561,561,1551225600,AA,AA_CODESHARE,AA,2977,OO,N702SK,2977,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",1633,1631.0,-2.0,23.0,1654.0,1736.0,17.0,1745,1753.0,8.0,0,,0,N,72.0,82.0,42.0,1,174,,,,,,,,,,Green Bay,44.48507,-88.12959000000002,cloudy
