fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,arr_delay,cancelled,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour,arr_hour,delayed,haul,month,season,dep_time_of_the_day,dest_code,carrier_code,unique_carrier_code,label
2019-12-14,AA,2605,AA,2605,14492,RDU,11298,DFW,-4.0,-13.0,0.0,197.0,188.0,158.0,1.0,1061.0,0.0,0.0,0.0,0.0,0.0,5,8,0,SHORT,12,winter,night,77,0,1,0
2019-08-28,DL,1849,DL,1849,14831,SJC,13487,MSP,-5.0,-11.0,0.0,219.0,213.0,190.0,1.0,1575.0,0.0,0.0,0.0,0.0,0.0,6,11,0,SHORT,8,summer,morning,204,3,7,0
2018-05-18,G4,819,G4,819,12544,USA,14112,PIE,-6.0,-8.0,0.0,98.0,96.0,79.0,1.0,528.0,0.0,0.0,0.0,0.0,0.0,21,23,0,SHORT,5,spring,evening,231,5,11,0
2018-02-05,AA,2212,AA,2212,14492,RDU,11298,DFW,-3.0,4.0,0.0,193.0,200.0,170.0,1.0,1061.0,0.0,0.0,0.0,0.0,0.0,11,14,1,SHORT,2,winter,morning,77,0,1,1
2019-07-06,B6,1121,B6,1121,14057,PDX,12954,LGB,-6.0,-9.0,0.0,138.0,135.0,118.0,1.0,846.0,0.0,0.0,0.0,0.0,0.0,5,8,0,SHORT,7,summer,night,169,2,4,0
2019-07-30,DL,2909,DL,2909,10397,ATL,11278,DCA,6.0,-2.0,0.0,116.0,108.0,84.0,1.0,547.0,0.0,0.0,0.0,0.0,0.0,17,19,0,SHORT,7,summer,afternoon,75,3,7,0
2018-04-11,UA,2184,UA,2184,12266,IAH,14635,RSW,-4.0,-12.0,0.0,137.0,129.0,105.0,1.0,861.0,0.0,0.0,0.0,0.0,0.0,19,23,0,SHORT,4,spring,evening,259,8,21,0
2019-03-12,WN,271,WN,271,13296,MHT,13204,MCO,7.0,-7.0,0.0,195.0,181.0,165.0,1.0,1142.0,0.0,0.0,0.0,0.0,0.0,18,21,0,SHORT,3,spring,evening,182,10,23,0
2019-06-26,UA,3602,YX,3602,11618,EWR,15919,XNA,-3.0,-4.0,0.0,203.0,202.0,152.0,1.0,1131.0,0.0,0.0,0.0,0.0,0.0,8,11,0,SHORT,6,summer,morning,316,8,25,0
2018-09-07,NK,1805,NK,1805,11618,EWR,10397,ATL,11.0,89.0,0.0,147.0,225.0,107.0,1.0,746.0,0.0,0.0,89.0,0.0,0.0,15,19,1,SHORT,9,autumn,afternoon,16,7,16,1
